ID,GruenhornApotheke,AbcApotheke,HeliosApotheke,420BrokkoliApotheke,CannflosApotheke,GrueneblueteApotheke,Cannabisapo24Apotheke
1,25/1 Amici-Cannabisblüten: Cherry Pie,None,Amici 25/1 CP – Cherry Pie,25/1 Amici-Cannabisblüten,Amici 25/1 CP,25/1 Amici CP (Cherry Pie),25/1 Amici Cannabisblüten CP
2,27/1 Amici-Cannabisblüten: Strawberry Banana,None,Amici 27/1 SB – Strawberry Banana,27/1 Amici-Cannabisblüten,Amici 27/1 SB,27/1 Amici SB (Strawberry Banana),27/1 Amici Cannabisblüten SB
3,29/1 Amici-Cannabisblüten: Strawberry Banana,None,Amici 29/1 SB – Strawberry Banana,29/1 Amici- Cannabisblüten,Amici 29/1 SB,29/1 Amici SB (Strawberry Banana),29/1 Amici Cannabisblüten SB
4,420 Evolution 27/1 CA: ICC,420 EVOLUTION ICC 27/1,420 Evolution 27/1 CA ICC – Ice Cream Cake x Kush Mints,420 Evolution 27/1 CA ICC,420 Natural Evolution 27/1 ICC,420 Evolution 27/1 CA ICC (Ice Cream Cake Kush Mints),420 Evolution 27/1 CA ICC
5,420 Evolution 27/1 CA: STR,420 Evolution 27/1 CA STR,420 Evolution 27/1 CA STR – Star Struck,420 Evolution 27/1 CA STR,420 Natural Evolution 27/1 CA STR,420 Evolution 27/1 CA STR (Star Struck),420 Evolution 27/1 CA STR - Star Struck
6,420 Evolution 30/1 CA: BUL,420 Evolution 30/1 CA BUL,420 Evolution 30/1 CA BUL – Bucket List,420 Evolution 30/1 CA BUL,420 Evolution 30/1 CA BUL,420 Evolution 30/1 CA CA BUL (Bucket List),420 Evolution 30/1 CA BUL
7,420 Evolution 30/1 CA: TGP,None,None,420 Evolution 30/1 CA TGP,420 Natural Evolution 30/1 TGP,420 Evolution 30/1 CA TGP (Tiger Paw),420 Evolution 30/1 CA TGP Tiger Paw
8,420 Natural 17/1 CA: TRP,None,None,None,None,420 Natural 17/1 CA TRP (Tropicana Cookies),None
9,420 Natural 18/1 CA: ZRP,420 Natural 18/1 ZRP,420 Natural 18/1 CA ZRP – Zour Apple,420 NATURAL 18/1 CA ZRP,420 Natural 18/1 CA ZRP,420 Natural 18/1 CA ZRP (Zour Apple),420 Natural 18/1 CA ZRP
10,420 Natural 19/1 CA: TRP,420 Natural 19/1 CA TRP,None,420 NATURAL 19/1 CA TRP,420 Natural 19/1 CA TRP,420 Natural 19/1 CA TRP (Tropicana Cookies),420 Natural 19/1 CA TRP - Tropicana Cookies
11,420 Natural 22/1 CA: GG,420 Natural 22/1,420 Natural 22/1 CA – Gorilla Glue,420 NATURAL 22/1 CA GG4,420 Natural 22/1 GG4,420 Natural 22/1 CA GG4 (Gorilla Glue 4),420 Natural 22/1 CA GG4
12,420 Natural 25/1: GG,420 Natural 25/1,420 Natural 25/1 CA – Gorilla Glue,420 NATURAL 25/1 CA GG4,420 Natural 25/1 GG4,420 Natural 25/1 CA GG4 (Gorilla Glue 4),420 Natural 25/1 CA GG4
